;; Unicode Sender
;; Type what you want to send in Unicode and press backtick (`), it will be sent.
;; C1 for characters where case is not relevant. C for characters where case is relevant.
;; ? for characters that are used inside words. No '?' syntax otherwise.
;; 1047 definitions.

;; if we type (atom`), we get (om`). How to deal with this issue?
;; Remove the '?' syntax out for things that should not be a part of a word, such as symbols.
;; Keep the '?' syntax for letters and diacritics

;; LIST
;;====================
;; GREEK LETTERS
;; ARCHAIC GREEK LETTERS
;; BRACKETS
;; COMBINING DIACRITICS (LATIN)
;; COMPUTER-KEYS SYMBOLS
;; CURRENCY SYMBOLS
;; DATE AND TIME
;; EXTRA LETTERS & LIGATURES
;; MATHEMATICAL (GEOMETRICAL)
;; MATHEMATICAL
;; ORTHOGRAPHICAL
;; ORTHOGRAPHICAL (RIGHT-TO-LEFT)
;; ROMAN NUMERALS
;; SPACING
;; ASTRONOMICAL
;; RELIGIOUS & POLITICAL
;; SYMBOLS


;; GREEK LETTERS
;;====================
*C1?OZ‖doubleacute`‖SI‖En‖{U+030B}‖combining double acute accent
*C1?OZ‖doubleacuteaccent`‖SI‖En‖{U+030B}‖combining double acute accent

*C?1OZ‖circumflex`‖SI‖En‖{U+0302}‖combining circumflex accent
*C1?OZ‖circumflexaccent`‖SI‖En‖{U+0302}‖combining circumflex accent

*C1?OZ‖apex`‖SI‖En‖{U+1DC4}‖combining macron-acute

*C1?OZ‖umlaut`‖SI‖En‖{U+0308}‖combining diaeresis
*C1?OZ‖trema`‖SI‖En‖{U+0308}‖combining diaeresis
*C1?OZ‖diaeresis`‖SI‖En‖{U+0308}‖combining diaeresis

*C1?OZ‖ogonek`‖SI‖En‖{U+0328}‖combining ogonek

*C1?OZ‖xbelow`‖SI‖En‖{U+0353}‖combining x below

*C1?OZ‖leftangleabove`‖SI‖En‖{U+031A}‖combining left angle above

*C1?OZ‖bridgeabove`‖SI‖En‖{U+0346}‖combining bridge above
*C1?OZ‖bridgebelow`‖SI‖En‖{U+032A}‖combining bridge below

*C1?OZ‖hook`‖SI‖En‖{U+0309}‖combining hook above
*C1?OZ‖hookabove`‖SI‖En‖{U+0309}‖combining hook above

*C1?OZ‖dotabove`‖SI‖En‖{U+0307}‖combining dot above
*C1?OZ‖overdot`‖SI‖En‖{U+0307}‖combining dot above
*C1?OZ‖tittle`‖SI‖En‖{U+0307}‖combining dot above
*C1?OZ‖dotbelow`‖SI‖En‖{U+0323}‖combining dot below
*C1?OZ‖underdot`‖SI‖En‖{U+0323}‖combining dot below

*C1?OZ‖cedilla`‖SI‖En‖{U+0327}‖combining cedilla
*C1?OZ‖cedille`‖SI‖En‖{U+0327}‖combining cedilla

*C1?OZ‖commabelow`‖SI‖En‖{U+0326}‖combining comma below

*C1?OZ‖sicilicus`‖SI‖En‖{U+0357}‖combining right half ring above

*C1?OZ‖breve`‖SI‖En‖{U+0306}‖combining breve
*C1?OZ‖invertedbreve`‖SI‖En‖{U+0311}‖combining inverted breve
*C1?OZ‖invertedbrevebelow`‖SI‖En‖{U+032F}‖combining inverted breve below
*C1?OZ‖doublebreve`‖SI‖En‖{U+035D}‖combining double breve
*C1?OZ‖doublebrevebelow`‖SI‖En‖{U+035C}‖combining double breve below
*C1?OZ‖tiebelow`‖SI‖En‖{U+035C}‖combining double breve below
*C1?OZ‖doubleinvertedbreve`‖SI‖En‖{U+0361}‖combining double inverted breve
*C1?OZ‖combiningtie`‖SI‖En‖{U+0361}‖combining double inverted breve
*C1?OZ‖tieabove`‖SI‖En‖{U+0361}‖combining double inverted breve
*C1?OZ‖doubleinvertedbrevebelow`‖SI‖En‖{U+1DFC}‖combining double inverted breve below

*C1?OZ‖doubletie`‖SI‖En‖{U+0361}{right 1}{U+0361}‖combining double inverted breve
*C1?OZ‖doubletiebelow`‖SI‖En‖{U+035C}{right 1}{U+035C}‖combining double breve below

*C1?OZ‖tilde`‖SI‖En‖{U+0303}‖combining tilde

*C1?OZ‖macron`‖SI‖En‖{U+0304}‖combining macron
*C1?OZ‖macronbelow`‖SI‖En‖{U+0331}‖combining macron below
